game_date,home_team,away_team,predicted_total,actual_total,error
2026-01-06,PHX,HOU,208.00817811969284,197,11.008178119692843
2026-01-06,CHA,OKC,215.1776221946144,221,-5.8223778053855995
2026-01-06,DEN,PHI,248.35873137982816,249,-0.6412686201718429
2026-01-06,GSW,LAC,226.1754493561835,205,21.175449356183492
2026-01-06,CLE,IND,232.09674783798897,236,-3.9032521620110288
2026-01-06,ORL,WAS,240.64689749743957,232,8.646897497439568
2026-01-06,SAS,MEM,229.22551594171068,211,18.225515941710682
2026-01-06,MIA,MIN,235.4848536700157,216,19.484853670015696
2026-01-06,LAL,NOP,235.97766877073758,214,21.97766877073758
2026-01-06,DAL,SAC,223.30052870955276,198,25.300528709552765
2026-01-06,NOP,LAL,232.73043335085563,214,18.730433350855634
2026-01-06,SAC,DAL,210.54909553139794,198,12.549095531397938
2026-01-07,MEM,SAS,224.10423434595202,211,13.104234345952023
2026-01-07,IND,CLE,234.26813164888827,236,-1.7318683511117285
2026-01-07,DAL,SAC,206.11117103728105,198,8.111171037281053
2026-01-07,LAL,NOP,228.92371310015517,214,14.923713100155169
2026-01-07,MIA,MIN,228.59776907911083,216,12.597769079110833
2026-01-07,SAS,MEM,218.13402164412025,211,7.134021644120253
2026-01-07,ORL,WAS,238.84181771975295,232,6.841817719752953
2026-01-07,CLE,IND,236.58887213474802,236,0.5888721347480157
2026-01-07,MIL,GSW,222.7118798994082,233,-10.288120100591811
2026-01-07,UTA,OKC,224.7935197213821,254,-29.206480278617903
2026-01-07,PHX,MEM,207.97965510683048,215,-7.020344893169522
2026-01-07,SAC,DAL,200.04731442406276,198,2.047314424062762
2026-01-07,NOP,LAL,225.6732095754022,214,11.673209575402211
2026-01-07,MIN,MIA,224.27654059833043,216,8.276540598330428
2026-01-07,WAS,ORL,239.71951769085817,232,7.719517690858169
2026-01-07,LAL,SAS,217.5664594915712,198,19.56645949157121
2026-01-07,LAC,NYK,225.11638519972448,234,-8.883614800275524
2026-01-07,ORL,BKN,232.2627031882105,207,25.26270318821051
2026-01-07,POR,HOU,220.77114044140936,205,15.771140441409358
2026-01-07,DEN,BOS,237.24337257485627,224,13.243372574856267
2026-01-07,NOP,ATL,225.0313089489999,217,8.031308948999907
2026-01-07,CHA,TOR,224.17319976149787,193,31.17319976149787
2026-01-07,GSW,MIL,213.92798759249632,233,-19.072012407503678
2026-01-07,OKC,UTA,240.01099363740286,254,-13.989006362597138
2026-01-07,MEM,PHX,204.2948145536128,215,-10.70518544638719
2026-01-07,SAS,LAL,209.401698601033,198,11.40169860103299
2026-01-07,NYK,LAC,223.43506727453672,234,-10.56493272546328
2026-01-07,BKN,ORL,225.86731723966665,207,18.867317239666647
2026-01-07,BOS,DEN,236.4347582505409,224,12.43475825054091
2026-01-07,ATL,NOP,221.61359294348733,217,4.613592943487333
2026-01-07,PHI,WAS,239.10834517477252,241,-1.8916548252274765
2026-01-07,DET,CHI,217.03537258293628,201,16.035372582936276
2026-01-07,WAS,PHI,241.7524823568449,241,0.7524823568448937
2026-01-07,CHI,DET,211.4186152968099,201,10.41861529680989
2026-01-07,TOR,CHA,214.02808087248906,193,21.028080872489056
2026-01-07,HOU,POR,220.3855605832207,205,15.385560583220695
2026-01-08,SAS,LAL,210.91631362370862,198,12.916313623708618
2026-01-08,CHA,TOR,215.08842849014107,193,22.08842849014107
2026-01-08,DET,CHI,209.53933364571628,201,8.539333645716283
2026-01-08,PHI,WAS,240.94304869690114,241,-0.05695130309885599
2026-01-08,OKC,UTA,240.35968673047836,254,-13.640313269521641
2026-01-08,GSW,MIL,220.15354383433447,233,-12.84645616566553
2026-01-08,POR,HOU,215.56282516867807,205,10.562825168678074
2026-01-08,HOU,POR,211.7258013546654,205,6.725801354665407
2026-01-08,CHA,IND,227.18740775644022,226,1.1874077564402228
2026-01-08,MIN,CLE,229.33245312819145,253,-23.667546871808554
2026-01-08,MIL,GSW,224.7742110013441,233,-8.2257889986559
